N,E
58637,58133
32884,34576,328819
49193,2385,654142
32469,26166,541217
45794,49552,873224
33793,25455,874801
29776,2480,324758
21309,56194,325791
56176,32061,543782
27569,58505,543181
13353,53273,328742
39552,13383,546946
28755,52461,325253
16828,30754,873280
55288,28685,763708
42951,25827,655126
55388,7522,768561
15350,18113,327663
8148,50556,869858
39350,24047,764128
23972,31708,437155
18032,33554,436830
48630,27114,654145
49849,48587,543515
21628,12236,870120
48083,43821,437501
22032,9183,325768
25313,34110,434892
55498,19331,655092
33083,28622,435052
5931,52627,1202910
14222,1468,325576
201,57020,542636
55738,15111,982451
35209,44371,873551
55771,7639,544496
39360,29744,873821
53579,32905,653851
47485,67,760510
30887,48932,436546
23058,11927,871913
17582,9079,763132
4186,55220,543643
19118,42220,767007
19829,23626,217124
40352,5495,542796
15091,48250,652071
5247,55087,435114
11963,27536,544170
39984,16294,655117
46169,50127,327473
20047,49992,760831
18854,2519,543551
57349,57982,541841
14648,37316,324902
27731,27420,543645
58499,5263,764495
53695,9317,543648
34659,19040,980377
34778,42381,763416
45033,6610,217841
23874,47558,873872
43446,17416,764487
75,33815,544528
25969,5206,218535
39022,50916,434964
30104,18403,547124
52866,54233,545105
16556,51083,653734
53536,8246,327281
26403,35920,545044
1219,36264,434510
35906,1792,545079
43878,43006,870594
46975,19827,328061
32634,31879,654574
24459,37664,763114
49576,13304,873192
47000,5487,1200712
9054,51476,329214
55721,41682,1090175
22513,39974,651623
23679,14677,543033
47070,49917,654987
47051,35012,868172
22850,36895,763131
49816,11211,544737
25710,45068,871792
43444,13399,436153
34861,45893,546356
1637,19712,652030
36212,9994,870991
2895,47947,546453
10654,1194,760060
44301,29759,326901
23378,7114,543302
39269,27025,760594
24704,3688,653568
35493,30614,761901
57065,3759,216996
17685,11140,435975
2774,38863,544520
4278,15518,437489
32013,53663,652482
13052,34588,763574
9931,3819,542359
39664,9342,757307
29152,36176,873612
14215,39583,765511
37986,148,327069
24729,7719,763166
